domain_name,unlocked,creative_count,bare_kind,best_url,screenshot_s3,unlocked_params
2vrfdcxsrvf43.com,False,0,unknown,https://2vrfdcxsrvf43.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/2vrfdcxsrvf43.com/09f12f1b-d49b-4299-8360-d51c073c6366/screenshot/full.png,
4klecdmksvr.com,True,1,unknown,https://4klecdmksvr.com/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/4klecdmksvr.com/1d44fd42-62f9-43f3-9597-d9810c3c7e80/screenshot/variant-ad_name-ind37.png,ad_name=ind37|pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=ajtan_Haq|pEl8X=origtupcls|adset_name=ind37|pEl8X=MI1_HT2|pEl8X=tupmz4el|pEl8X=MI2_HT2|pEl8X=tups111|pEl8X=MI2_Haq|pEl8X=tup5min|pEl8X=tupscdn|pEl8X=szvnknir
782erjkcndsxzlm.com,True,1,scam,https://782erjkcndsxzlm.com/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/782erjkcndsxzlm.com/1a5a61a1-9dca-4fed-a71d-07cd88b1223a/screenshot/variant-ad_name-ind37.png,ad_name=ind37|pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=ajtan_Haq|pEl8X=origtupcls|adset_name=ind37|pEl8X=MI1_HT2|pEl8X=tupmz4el|pEl8X=MI2_HT2|pEl8X=tups111|pEl8X=MI2_Haq|pEl8X=tup5min|pEl8X=tupscdn|pEl8X=szvnknir
9ewosmc32jnkver.com,True,1,unknown,https://9ewosmc32jnkver.com/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/9ewosmc32jnkver.com/f21d79b9-9cc7-41ae-8d0b-8775853b1a31/screenshot/variant-ad_name-ind37.png,ad_name=ind37|pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=ajtan_Haq|pEl8X=origtupcls|adset_name=ind37|pEl8X=MI1_HT2|pEl8X=tupmz4el|pEl8X=MI2_HT2|pEl8X=tups111|pEl8X=MI2_Haq|pEl8X=tup5min|pEl8X=tupscdn|pEl8X=szvnknir
9jefvnrcdjskz.com,True,3,mixed,https://9jefvnrcdjskz.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/9jefvnrcdjskz.com/c3a24aae-9266-40a0-8a3b-ef205ebc01a5/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
altaredbyfaith.com,False,0,scam,https://altaredbyfaith.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/altaredbyfaith.com/9ea0acbb-f500-4656-8418-43bae13ab47b/screenshot/full.png,
becjksdnlrecve.com,True,1,unknown,https://becjksdnlrecve.com/?ad_name=ind37,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/becjksdnlrecve.com/fde0bfcb-f3b2-4cf9-861c-c46b37ed21ac/screenshot/variant-ad_name-ind37.png,ad_name=ind37|pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=ajtan_Haq|pEl8X=origtupcls|adset_name=ind37|pEl8X=MI1_HT2|pEl8X=tupmz4el|pEl8X=MI2_HT2|pEl8X=tups111|pEl8X=MI2_Haq|pEl8X=tup5min|pEl8X=tupscdn|pEl8X=szvnknir
bhvrucedsixnki.com,False,0,unknown,https://bhvrucedsixnki.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/bhvrucedsixnki.com/a5c1ef7b-de4b-4427-ae2f-32448d31b5ed/screenshot/full.png,
brightcloudlane.com,True,2,unknown,https://brightcloudlane.com/?pEl8X=tupkapday,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/brightcloudlane.com/f39bac0f-cb34-4239-8d05-7170a704e834/screenshot/variant-pEl8X-tupkapday.png,pEl8X=tupkapday|pEl8X=nirpokcode|pEl8X=origtupcls|pEl8X=tupmz4el|pEl8X=tupscdn|pEl8X=szvnknir
brveindjskc.com,True,3,mixed,https://brveindjskc.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/brveindjskc.com/b767d5ed-ccf5-4826-9b76-3588e15ef7ad/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
brvjnkdcxoejh.com,True,3,mixed,https://brvjnkdcxoejh.com/?pEl8X=ajtan_Haq,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/brvjnkdcxoejh.com/59b9c8b4-d7c8-4298-bbc5-b3524bb036eb/screenshot/variant-pEl8X-ajtan_Haq.png,pEl8X=ajtan_Haq|pEl8X=MI1_HT2|pEl8X=MI2_HT2|pEl8X=MI2_Haq
dlescheit.com,True,2,unknown,https://dlescheit.com/?pEl8X=origtupcls,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/dlescheit.com/850d6bd1-8c5d-4954-a90d-e4bdb674fad2/screenshot/variant-pEl8X-origtupcls.png,pEl8X=origtupcls|pEl8X=tups111|pEl8X=tup5min|pEl8X=tupscdn
economicinsight360.com,False,0,unknown,https://economicinsight360.com/,https://cxo-demo.s3.ap-south-1.amazonaws.com/domain-analyzer/SEBI-Data-Search/economicinsight360.com/1baf832c-a220-4923-a908-98a23ce0d120/screenshot/full.png,
