domain_name,reachable,visibility,analysis_status,ai_threat_score,category,registrar,created_at,hosting_provider,hosting_country,ssl_valid,http_status,a_records,linked_ad_count,object_id
22000verdcsarvecsd.com,False,down,completed,84,scam,"NameCheap, Inc.",2026-06-14T15:44:01+00:00,,,False,,,2,6a8be232abdd8b24b75f1749
2vrfdcxsrvf43.com,True,up,completed,84,scam,"NameCheap, Inc.",2026-07-22T10:31:45+00:00,Bharti Airtel Ltd,IN,False,,125.21.240.67,26,6a8be232abdd8b24b75f174a
3feeeklecdws.com,False,down,completed,89,scam,"NameCheap, Inc.",2026-08-06T04:12:10+00:00,,,False,,,1,6a8be232abdd8b24b75f174b
4klecdmksvr.com,True,up,completed,86,scam,"NameCheap, Inc.",2026-07-22T10:30:43+00:00,"Cloudflare, Inc.",CA,True,,"104.21.75.176,172.67.179.182",15,6a8be232abdd8b24b75f174c
782erjkcndsxzlm.com,True,up,completed,86,scam,"NameCheap, Inc.",2026-07-16T11:44:56+00:00,"Cloudflare, Inc.",CA,True,,"104.21.56.43,172.67.177.94",16,6a8be232abdd8b24b75f174d
9ewosmc32jnkver.com,True,up,completed,47,unknown,"NameCheap, Inc.",2026-07-08T10:31:41+00:00,"Cloudflare, Inc.",CA,True,,"104.21.38.204,172.67.138.82",1,6a8be232abdd8b24b75f174e
9jefvnrcdjskz.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-18T08:49:09+00:00,"Cloudflare, Inc.",CA,True,,"104.21.50.35,172.67.199.247",118,6a8be233abdd8b24b75f174f
altaredbyfaith.com,True,up,completed,86,scam,"NameCheap, Inc.",2026-06-22T15:49:28+00:00,"Cloudflare, Inc.",CA,True,,"104.21.54.220,172.67.142.176",11,6a8be233abdd8b24b75f1750
becjksdnlrecve.com,True,up,completed,86,scam,"NameCheap, Inc.",2026-07-13T03:54:45+00:00,"Cloudflare, Inc.",CA,True,,"104.21.89.59,172.67.138.23",1,6a8be233abdd8b24b75f1751
bhvrucedsixnki.com,True,up,completed,84,scam,"NameCheap, Inc.",2026-07-16T11:47:04+00:00,Bharti Airtel Ltd,IN,False,,125.21.240.67,15,6a8be233abdd8b24b75f1752
blackindiadigital.com,False,down,completed,25,unknown,,,,,False,,,1,6a8be233abdd8b24b75f1753
blackindiaenginehub.com,False,down,completed,52,unknown,,,,,False,,,1,6a8be233abdd8b24b75f1754
blackindialoop.com,False,down,completed,52,unknown,,,,,False,,,1,6a8be233abdd8b24b75f1755
brightcloudlane.com,True,up,completed,52,unknown,"NameCheap, Inc.",2026-08-05T22:19:40+00:00,"CloudFlare, Inc.",CA,True,,"188.114.96.0,188.114.97.0",213,6a8be233abdd8b24b75f1756
brveindjskc.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-18T08:46:42+00:00,"Cloudflare, Inc.",CA,True,,"104.21.43.207,172.67.185.44",83,6a8be233abdd8b24b75f1757
brvjnkdcxoejh.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-07T16:49:40+00:00,"Cloudflare, Inc.",CA,True,,"104.21.65.66,172.67.188.247",4,6a8be234abdd8b24b75f1758
bu3ceids3ecwvm.com,False,down,completed,84,scam,"NameCheap, Inc.",2026-07-07T04:15:32+00:00,Bharti Airtel Ltd,IN,False,,125.21.240.67,2,6a8be234abdd8b24b75f1759
cleanbharatspace.com,False,down,completed,52,unknown,,,,,False,,,2,6a8be234abdd8b24b75f175a
cleanindiaworks.com,False,down,completed,52,unknown,,,,,False,,,1,6a8be234abdd8b24b75f175b
clearindiaengine.com,False,down,completed,52,unknown,,,,,False,,,2,6a8be234abdd8b24b75f175c
darkindiaarchive.com,False,down,completed,52,unknown,,,,,False,,,4,6a8be234abdd8b24b75f175d
darkindiaflow.com,False,down,completed,52,unknown,,,,,False,,,1,6a8be234abdd8b24b75f175e
darkmumbaivisual.com,False,down,completed,52,unknown,,,,,False,,,1,6a8be234abdd8b24b75f175f
darksignalindiamatrixvisualdisplayhub.com,False,down,completed,52,unknown,,,,,False,,,5,6a8be234abdd8b24b75f1760
dlescheit.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-05T22:15:15+00:00,"Cloudflare, Inc.",CA,True,,"104.21.21.72,172.67.197.2",172,6a8be234abdd8b24b75f1761
ecdsvevtr4cdres.com,False,down,completed,89,scam,"NameCheap, Inc.",2026-08-06T04:11:46+00:00,,,False,,,1,6a8be235abdd8b24b75f1762
economicinsight360.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-16T17:24:36+00:00,"Cloudflare, Inc.",CA,True,,"104.21.81.27,172.67.156.120",1,6a8be235abdd8b24b75f1763
ecwdskndsdcsa.com,True,up,completed,86,scam,"NameCheap, Inc.",2026-07-01T04:02:44+00:00,"Cloudflare, Inc.",CA,True,,"104.21.56.7,172.67.175.33",4,6a8be235abdd8b24b75f1764
eiusbvniaofno.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-19T04:22:00+00:00,"Cloudflare, Inc.",CA,True,,"104.21.96.38,172.67.172.68",20,6a8be235abdd8b24b75f1765
everydaybirch.com,True,up,completed,52,unknown,"NameCheap, Inc.",2026-08-05T22:20:20+00:00,"Cloudflare, Inc.",CA,True,,"104.21.36.10,172.67.182.177",201,6a8be235abdd8b24b75f1766
ewcdsihojsa.com,True,up,completed,86,scam,"NameCheap, Inc.",2026-07-01T04:03:03+00:00,"Cloudflare, Inc.",CA,True,,"104.21.26.92,172.67.135.210",1,6a8be235abdd8b24b75f1767
forursuclive.com,False,down,completed,45,unknown,"NameCheap, Inc.",2026-07-20T14:41:27+00:00,Bharti Airtel Ltd,IN,False,,125.21.240.67,2,6a8be235abdd8b24b75f1768
freshindiaworld.com,False,down,completed,52,unknown,,,,,False,,,1,6a8be235abdd8b24b75f1769
gbiredcsjnkx.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-17T08:30:53+00:00,"CloudFlare, Inc.",CA,True,,"188.114.96.0,188.114.97.0",19,6a8be235abdd8b24b75f176a
gir4uencsokmlz.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-18T08:49:35+00:00,"Cloudflare, Inc.",CA,True,,"104.21.26.67,172.67.135.151",118,6a8be236abdd8b24b75f176b
headlinexoras.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-03T12:18:43+00:00,"Cloudflare, Inc.",CA,True,,"104.21.33.100,172.67.189.203",7,6a8be236abdd8b24b75f176c
herbal-yr.fit,True,up,completed,81,scam,"NameCheap, Inc.",2026-03-03T11:58:05+00:00,"Cloudflare, Inc.",CA,True,,"104.21.43.187,172.67.184.75",198,6a8be236abdd8b24b75f176d
ianwrithi.com,False,down,completed,89,scam,"NameCheap, Inc.",2026-08-03T03:56:00+00:00,,,False,,,2,6a8be236abdd8b24b75f176e
ibg4rejnfkdo.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-19T04:22:59+00:00,"Cloudflare, Inc.",CA,True,,"104.21.77.72,172.67.205.94",20,6a8be236abdd8b24b75f176f
ibmgippt.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-05T22:13:27+00:00,"Cloudflare, Inc.",CA,True,,"104.21.53.215,172.67.218.219",38,6a8be236abdd8b24b75f1770
ibnurilbndscl.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-17T08:32:55+00:00,"Cloudflare, Inc.",CA,True,,"104.21.42.176,172.67.207.13",40,6a8be236abdd8b24b75f1771
ibruevndscokml.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-17T08:31:25+00:00,"Cloudflare, Inc.",CA,True,,"104.21.21.88,172.67.197.82",29,6a8be237abdd8b24b75f1772
idasiop.com,True,up,completed,86,scam,"NameCheap, Inc.",2026-07-12T12:11:02+00:00,"Cloudflare, Inc.",CA,True,,"104.21.92.217,172.67.198.220",15,6a8be237abdd8b24b75f1773
idnhout.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-05T22:14:23+00:00,"Cloudflare, Inc.",CA,True,,"104.21.91.76,172.67.212.14",278,6a8be237abdd8b24b75f1774
ienklit.com,False,down,completed,89,scam,"NameCheap, Inc.",2026-08-03T03:56:48+00:00,,,False,,,9,6a8be237abdd8b24b75f1775
iknletu.com,True,up,completed,89,scam,"NameCheap, Inc.",2026-07-26T20:04:45+00:00,Bharti Airtel Ltd,IN,False,,125.21.240.67,12,6a8be237abdd8b24b75f1776
iknpior.com,False,down,completed,89,scam,"NameCheap, Inc.",2026-08-06T00:48:42+00:00,,,False,,,16,6a8be237abdd8b24b75f1777
iknroling.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-03T03:54:46+00:00,"Cloudflare, Inc.",CA,True,,"104.21.22.179,172.67.206.93",1,6a8be238abdd8b24b75f1778
ilnkarip.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-05T22:14:04+00:00,"Cloudflare, Inc.",CA,True,,"104.21.80.189,172.67.153.73",20,6a8be238abdd8b24b75f1779
ilnkuter.com,False,down,completed,89,scam,"NameCheap, Inc.",2026-07-30T18:22:23+00:00,,,False,,,7,6a8be238abdd8b24b75f177a
ilntieap.com,False,down,completed,89,scam,"NameCheap, Inc.",2026-08-03T03:57:27+00:00,,,False,,,2,6a8be238abdd8b24b75f177b
imniksiol.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-03T03:55:22+00:00,"Cloudflare, Inc.",CA,True,,"104.21.33.208,172.67.166.160",1,6a8be238abdd8b24b75f177c
indavibuervole.com,False,down,completed,79,scam,"NameCheap, Inc.",2026-05-09T17:24:07+00:00,,,False,,,2,6a8be238abdd8b24b75f177d
indianbookcritics.in,True,up,completed,27,unknown,Endurance International Group India Private Limited,2017-05-03T11:42:58.876000+00:00,"Cloudflare, Inc.",CA,True,,"104.21.24.211,172.67.220.207",68,6a8be238abdd8b24b75f177e
indiavoidengine.com,False,down,completed,52,unknown,,,,,False,,,1,6a8be238abdd8b24b75f177f
indivfrewdxsaxdce.com,False,down,completed,79,scam,"NameCheap, Inc.",2026-05-14T14:42:26+00:00,,,False,,,1,6a8be238abdd8b24b75f1780
insibdcwlrvefcdbsuj.com,False,down,completed,79,scam,"NameCheap, Inc.",2026-05-14T14:40:53+00:00,,,False,,,4,6a8be238abdd8b24b75f1781
investingooodinin.com,False,down,completed,47,unknown,Hosting Concepts B.V. d/b/a Registrar.eu,2026-06-10T08:18:44+00:00,"Cloudflare, Inc.",CA,True,,"104.21.24.105,172.67.218.83",4,6a8be238abdd8b24b75f1782
irbenjcdkslm.com,False,down,completed,89,scam,"NameCheap, Inc.",2026-08-18T08:47:15+00:00,,,False,,,121,6a8be239abdd8b24b75f1783
irvbuenefwds.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-07T16:48:39+00:00,"Cloudflare, Inc.",CA,True,,"104.21.32.125,172.67.151.247",12,6a8be239abdd8b24b75f1784
itnmutry.com,False,down,completed,89,scam,"NameCheap, Inc.",2026-07-30T18:22:56+00:00,,,False,,,3,6a8be239abdd8b24b75f1785
iubrvbecdnosl.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-05T08:01:27+00:00,"Cloudflare, Inc.",CA,True,,"104.21.17.88,172.67.175.101",1,6a8be239abdd8b24b75f1786
iuerhvolsaedc.com,True,up,completed,84,scam,"NameCheap, Inc.",2026-07-16T11:44:13+00:00,Bharti Airtel Ltd,IN,False,,125.21.240.67,18,6a8be239abdd8b24b75f1787
jinr4evdkcmsl.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-19T04:23:46+00:00,"CloudFlare, Inc.",CA,True,,"188.114.96.0,188.114.97.0",65,6a8be239abdd8b24b75f1788
jivrenckslkm.com,False,down,completed,84,scam,"NameCheap, Inc.",2026-07-13T03:54:04+00:00,,,False,,,18,6a8be239abdd8b24b75f1789
jlnrvkefdscmx.com,True,up,completed,86,scam,"NameCheap, Inc.",2026-07-16T11:22:53+00:00,"Cloudflare, Inc.",CA,True,,"104.21.10.98,172.67.131.77",12,6a8be239abdd8b24b75f178a
johnpride.in,True,up,completed,52,unknown,GoDaddy,2014-07-02T19:37:13.994000+00:00,AWS EC2 (ap-south-1),IN,True,,13.232.116.131,2,6a8be23aabdd8b24b75f178b
jotkijd.com,True,up,completed,35,unknown,"NameCheap, Inc.",2026-01-24T06:14:28+00:00,"Cloudflare, Inc.",CA,True,,"104.21.9.109,172.67.159.194",13,6a8be23aabdd8b24b75f178c
jrvoeiwnoqncwe.com,False,down,completed,79,scam,"NameCheap, Inc.",2026-05-20T09:17:08+00:00,,,False,,,1,6a8be23aabdd8b24b75f178d
kalamkarifashion.com,False,down,completed,52,unknown,,,,,False,,,3,6a8be23aabdd8b24b75f178e
kehrvchedbc.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-07T16:46:44+00:00,"Cloudflare, Inc.",CA,True,,"104.21.51.251,172.67.192.131",20,6a8be23aabdd8b24b75f178f
kjnferwni3rgefv.com,True,up,completed,84,scam,"NameCheap, Inc.",2026-07-22T10:32:09+00:00,Bharti Airtel Ltd,IN,False,,125.21.240.67,3,6a8be23aabdd8b24b75f1790
kjrnvfecdqwdfv.com,True,up,completed,84,scam,"NameCheap, Inc.",2026-07-22T10:32:34+00:00,Bharti Airtel Ltd,IN,False,,125.21.240.67,64,6a8be23aabdd8b24b75f1791
littlefoxcorner.com,True,up,completed,52,unknown,"NameCheap, Inc.",2026-08-05T22:17:44+00:00,"Cloudflare, Inc.",CA,True,,"104.21.49.36,172.67.141.11",24,6a8be23aabdd8b24b75f1792
littleitaly.in,True,up,completed,25,unknown,GoDaddy,2008-02-21T18:20:26.279000+00:00,"GoDaddy.com, LLC",SG,True,,184.168.96.201,1008,6a8be23aabdd8b24b75f1793
mezaxs.com,True,up,completed,94,scam,"NameCheap, Inc.",2026-04-28T21:30:38.000Z,"Cloudflare, Inc.",US,True,,"104.21.79.100,172.67.169.236",18,6a8544943566f8fa2bfe30a1
midnightindiavisualmatrixarchivehub.com,False,down,completed,52,unknown,,,,,False,,,1,6a8be23babdd8b24b75f1794
mnubriceds3ecwd.com,True,up,completed,86,scam,"NameCheap, Inc.",2026-07-07T04:17:21+00:00,"Cloudflare, Inc.",CA,True,,"104.21.68.76,172.67.191.174",1,6a8be23babdd8b24b75f1795
moneysavinganswers.net,True,up,completed,52,unknown,"NameCheap, Inc.",2023-09-12T06:33:19+00:00,Google Cloud,US,True,,34.8.199.27,1,6a8be23babdd8b24b75f1796
morningoakstudio.com,True,up,completed,52,unknown,"NameCheap, Inc.",2026-08-05T22:17:28+00:00,"Cloudflare, Inc.",CA,True,,"104.21.8.8,172.67.156.153",581,6a8be23babdd8b24b75f1797
mowdmcporvx.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-19T04:24:34+00:00,"Cloudflare, Inc.",CA,True,,"104.21.33.159,172.67.164.200",38,6a8be23cabdd8b24b75f1798
mvrescpaon.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-07T16:50:03+00:00,"Cloudflare, Inc.",CA,True,,"104.21.4.154,172.67.132.38",4,6a8be23cabdd8b24b75f1799
newzonic.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-07-27T11:20:36.000Z,"Cloudflare, Inc.",US,True,,"104.21.20.229,172.67.194.189",0,6a853bb270c7aed32f25c77f
nirveocdspmlre21.com,False,down,completed,84,scam,"NameCheap, Inc.",2026-07-08T10:30:40+00:00,Bharti Airtel Ltd,IN,False,,125.21.240.67,3,6a8be23cabdd8b24b75f179a
niu4rve4ervfno.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-19T04:22:23+00:00,"Cloudflare, Inc.",CA,True,,"104.21.49.167,172.67.164.251",68,6a8be23cabdd8b24b75f179b
noeriwsdcjce.com,True,up,completed,86,scam,"NameCheap, Inc.",2026-07-16T11:46:41+00:00,"Cloudflare, Inc.",CA,True,,"104.21.86.28,172.67.214.97",3,6a8be23cabdd8b24b75f179c
noiverjio34.com,True,up,completed,84,scam,"NameCheap, Inc.",2026-07-22T10:31:03.000Z,"Cloudflare, Inc.",US,True,,"172.67.197.42,104.21.76.154",14,6a85430710b9cfec344bffd4
northgardenview.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-05T22:19:59+00:00,"Cloudflare, Inc.",CA,True,,"104.21.83.237,172.67.183.115",7,6a8be23cabdd8b24b75f179d
nrvdmewsa.com,True,up,completed,86,scam,"NameCheap, Inc.",2026-07-01T04:01:56+00:00,"Cloudflare, Inc.",CA,True,,"104.21.5.205,172.67.133.212",8,6a8be23cabdd8b24b75f179e
nrveodscxljrfom.com,False,down,completed,84,scam,"NameCheap, Inc.",2026-07-13T03:53:43+00:00,,,False,,,4,6a8be23cabdd8b24b75f179f
nug1frewkdo.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-19T04:23:24+00:00,"Cloudflare, Inc.",CA,True,,"104.21.21.176,172.67.199.170",5,6a8be23cabdd8b24b75f17a0
nurerecdecw.com,True,up,completed,84,scam,"NameCheap, Inc.",2026-07-23T03:27:00+00:00,Bharti Airtel Ltd,IN,False,,125.21.240.67,5,6a8be23cabdd8b24b75f17a1
ornvueisdmccd.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-18T08:48:16+00:00,"Cloudflare, Inc.",CA,True,,"104.21.37.44,172.67.203.190",118,6a8be23cabdd8b24b75f17a2
pepperfry.com,True,up,completed,27,unknown,"Register.com - Network Solutions, LLC",2011-07-19T00:07:50+00:00,AWS CloudFront (GLOBAL),IN,True,,"18.66.63.32,18.66.63.45,18.66.63.6,18.66.63.65",27,6a8be23dabdd8b24b75f17a3
plussizekurti.com,True,up,completed,27,unknown,"GoDaddy.com, LLC",2024-07-13T05:24:13+00:00,"Shopify, Inc.",CA,True,,23.227.38.32,1,6a8be23dabdd8b24b75f17a4
pmociewamiqsx.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-19T04:24:06+00:00,"Cloudflare, Inc.",CA,True,,"104.21.67.204,172.67.180.149",65,6a8be23dabdd8b24b75f17a5
pofmrecodwsx.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-19T04:25:00+00:00,"Cloudflare, Inc.",CA,True,,"104.21.18.237,172.67.183.230",3,6a8be23dabdd8b24b75f17a6
popadauvmast.com,False,down,completed,45,unknown,"NameCheap, Inc.",2026-06-18T08:41:40+00:00,,,False,,,1,6a8be23dabdd8b24b75f17a7
porasobiratmusli.com,True,up,completed,52,unknown,"NameCheap, Inc.",2026-08-15T15:03:59+00:00,"Cloudflare, Inc.",CA,True,,"104.21.7.96,172.67.130.22",29,6a8be23dabdd8b24b75f17a8
pporeiovdnscml.com,True,up,completed,91,scam,"NameCheap, Inc.",2026-08-17T08:31:49+00:00,"Cloudflare, Inc.",CA,True,,"104.21.33.25,172.67.158.15",29,6a8be23dabdd8b24b75f17a9
