domain_name,ad_count,sources,sample_url
22000verdcsarvecsd.com,2,card,http://22000verdcsarvecsd.com/?pEl8X=szvnknir
2vrfdcxsrvf43.com,26,card,http://2vrfdcxsrvf43.com/?content_id=phino2&pEl8X=szvnknir
3feeeklecdws.com,1,card,http://3feeeklecdws.com/?content_id=mukaka&pEl8X=szvnknir
4klecdmksvr.com,15,card,http://4klecdmksvr.com/?content_id=nericao&pEl8X=szvnknir
782erjkcndsxzlm.com,16,card,http://782erjkcndsxzlm.com/?content_id=todaynirmala&pEl8X=szvnknir
9ewosmc32jnkver.com,1,card,https://9ewosmc32jnkver.com/
9jefvnrcdjskz.com,118,card,http://9jefvnrcdjskz.com/?content_id=nirminvite2&jkm_id=HT2
altaredbyfaith.com,11,card,https://altaredbyfaith.com/?content_id=in01-2017/05-1&utm_creative=shaktikanta_chat01_v3_hh
becjksdnlrecve.com,1,card,https://becjksdnlrecve.com/?pEl8X=szvnknir
bhvrucedsixnki.com,15,card|link,http://bhvrucedsixnki.com/?pEl8X=szvnknir
blackindiadigital.com,1,link,http://blackindiadigital.com/
blackindiaenginehub.com,1,link,http://blackindiaenginehub.com/?pEl8X=szvnknir
blackindialoop.com,1,link,http://blackindialoop.com/?pEl8X=szvnknir
brightcloudlane.com,213,card,https://brightcloudlane.com/
brveindjskc.com,83,card,http://brveindjskc.com/?content_id=ajtan&jkm_id=HT2
brvjnkdcxoejh.com,4,card,http://brvjnkdcxoejh.com/?content_id=saj&jkm_id=MAnnny
bu3ceids3ecwvm.com,2,card,https://bu3ceids3ecwvm.com/?pEl8X=szvnknir
cleanbharatspace.com,2,link,http://cleanbharatspace.com/?pEl8X=szvnknir
cleanindiaworks.com,1,link,http://cleanindiaworks.com/?pEl8X=szvnknir
clearindiaengine.com,2,link,http://clearindiaengine.com/?pEl8X=szvnknir
darkindiaarchive.com,4,link,http://darkindiaarchive.com/?pEl8X=szvnknir
darkindiaflow.com,1,link,http://darkindiaflow.com/?pEl8X=szvnknir
darkmumbaivisual.com,1,link,http://darkmumbaivisual.com/?pEl8X=szvnknir
darksignalindiamatrixvisualdisplayhub.com,5,link,http://darksignalindiamatrixvisualdisplayhub.com/?pEl8X=szvnknir
